BIRTH_YEAR,COUNTY_ORIGIN,BIRTH_MONTH,CALF_BREED_TYPE,TOTAL_BIRTH
2016,DUBLIN,JUN,BEEF,371
2016,DUBLIN,JUN,DAIRY,59
2016,DUBLIN,MAR,BEEF,704
2016,DUBLIN,MAR,DAIRY,168
2016,DUBLIN,MAY,BEEF,629
2016,DUBLIN,MAY,DAIRY,124
2016,DUBLIN,NOV,BEEF,217
2016,DUBLIN,NOV,DAIRY,131
2016,DUBLIN,OCT,BEEF,226
2016,DUBLIN,OCT,DAIRY,113
2016,DUBLIN,SEP,BEEF,211
2016,DUBLIN,SEP,DAIRY,152
2016,GALWAY,APR,BEEF,24001
2016,GALWAY,APR,DAIRY,1673
2016,GALWAY,AUG,BEEF,4814
2016,GALWAY,AUG,DAIRY,170
2016,GALWAY,DEC,BEEF,2184
2016,GALWAY,DEC,DAIRY,311
2016,GALWAY,FEB,BEEF,11338
2016,GALWAY,FEB,DAIRY,8220
2016,GALWAY,JAN,BEEF,5820
2016,GALWAY,JAN,DAIRY,1969
2016,GALWAY,JUL,BEEF,5829
2016,GALWAY,JUL,DAIRY,246
2016,GALWAY,JUN,BEEF,9401
2016,GALWAY,JUN,DAIRY,329
2016,GALWAY,MAR,BEEF,22370
2016,GALWAY,MAR,DAIRY,3973
2016,GALWAY,MAY,BEEF,16698
2016,GALWAY,MAY,DAIRY,772
2016,GALWAY,NOV,BEEF,2805
2016,GALWAY,NOV,DAIRY,451
2016,GALWAY,OCT,BEEF,3579
2016,GALWAY,OCT,DAIRY,455
2016,GALWAY,SEP,BEEF,3985
2016,GALWAY,SEP,DAIRY,235
2016,KERRY,APR,BEEF,15522
2016,KERRY,APR,DAIRY,4353
2016,KERRY,AUG,BEEF,3067
2016,KERRY,AUG,DAIRY,292
2016,KERRY,DEC,BEEF,2184
2016,KERRY,DEC,DAIRY,607
2016,KERRY,FEB,BEEF,16223
2016,KERRY,FEB,DAIRY,24956
2016,KERRY,JAN,BEEF,5364
2016,KERRY,JAN,DAIRY,8713
2016,KERRY,JUL,BEEF,3221
2016,KERRY,JUL,DAIRY,334
2016,KERRY,JUN,BEEF,4790
2016,KERRY,JUN,DAIRY,768
2016,KERRY,MAR,BEEF,20231
2016,KERRY,MAR,DAIRY,11292
2016,KERRY,MAY,BEEF,9117
2016,KERRY,MAY,DAIRY,1917
2016,KERRY,NOV,BEEF,2316
2016,KERRY,NOV,DAIRY,590
2016,KERRY,OCT,BEEF,2240
2016,KERRY,OCT,DAIRY,424
2016,KERRY,SEP,BEEF,2614
2016,KERRY,SEP,DAIRY,265
2016,KILDARE,APR,BEEF,4048
2016,KILDARE,APR,DAIRY,603
2016,KILDARE,AUG,BEEF,883
2016,KILDARE,AUG,DAIRY,149
2016,KILDARE,DEC,BEEF,669
2016,KILDARE,DEC,DAIRY,213
2016,KILDARE,FEB,BEEF,2876
2016,KILDARE,FEB,DAIRY,3265
2016,KILDARE,JAN,BEEF,1358
2016,KILDARE,JAN,DAIRY,1023
2016,KILDARE,JUL,BEEF,879
2016,KILDARE,JUL,DAIRY,86
2016,KILDARE,JUN,BEEF,1260
2016,KILDARE,JUN,DAIRY,117
2016,KILDARE,MAR,BEEF,4793
2016,KILDARE,MAR,DAIRY,1613
2016,KILDARE,MAY,BEEF,2669
2016,KILDARE,MAY,DAIRY,329
2016,KILDARE,NOV,BEEF,763
2016,KILDARE,NOV,DAIRY,448
2016,KILDARE,OCT,BEEF,901
2016,KILDARE,OCT,DAIRY,771
2016,KILDARE,SEP,BEEF,937
2016,KILDARE,SEP,DAIRY,319
2016,KILKENNY,APR,BEEF,10534
2016,KILKENNY,APR,DAIRY,2725
2016,KILKENNY,AUG,BEEF,1743
2016,KILKENNY,AUG,DAIRY,211
2016,KILKENNY,DEC,BEEF,1339
2016,KILKENNY,DEC,DAIRY,393
2016,KILKENNY,FEB,BEEF,12320
2016,KILKENNY,FEB,DAIRY,24074
2016,KILKENNY,JAN,BEEF,4233
2016,KILKENNY,JAN,DAIRY,9738
2016,KILKENNY,JUL,BEEF,1863
2016,KILKENNY,JUL,DAIRY,308
2016,KILKENNY,JUN,BEEF,2775
2016,KILKENNY,JUN,DAIRY,438
2016,KILKENNY,MAR,BEEF,15718
2016,KILKENNY,MAR,DAIRY,8412
2016,KILKENNY,MAY,BEEF,5697
2016,KILKENNY,MAY,DAIRY,1175
2016,KILKENNY,NOV,BEEF,1580
2016,KILKENNY,NOV,DAIRY,780
2016,KILKENNY,OCT,BEEF,1767
2016,KILKENNY,OCT,DAIRY,688
2016,KILKENNY,SEP,BEEF,1909
2016,KILKENNY,SEP,DAIRY,544
2016,LAOIS,APR,BEEF,7568
2016,LAOIS,APR,DAIRY,1735
2016,LAOIS,AUG,BEEF,2292
2016,LAOIS,AUG,DAIRY,204
2016,LAOIS,DEC,BEEF,1443
2016,LAOIS,DEC,DAIRY,367
2016,LAOIS,FEB,BEEF,5852
2016,LAOIS,FEB,DAIRY,11887
2016,LAOIS,JAN,BEEF,2572
2016,LAOIS,JAN,DAIRY,2368
2016,LAOIS,JUL,BEEF,1895
